Fecha;C1
30/03/2023 18:50:20;4.28
30/03/2023 19:05:20;2.55
30/03/2023 19:20:20;5.14
30/03/2023 19:35:20;2.23
30/03/2023 19:50:20;3.67
30/03/2023 20:05:20;1.79
30/03/2023 20:20:20;2.33
30/03/2023 20:35:20;1.52
30/03/2023 20:50:20;2.20
30/03/2023 21:05:20;3.33
30/03/2023 21:20:20;2.68
30/03/2023 21:35:20;3.75
30/03/2023 21:50:20;3.10
30/03/2023 22:05:20;2.46
30/03/2023 22:20:20;1.72
30/03/2023 22:35:20;2.76
30/03/2023 22:50:20;2.23
30/03/2023 23:05:20;3.02
30/03/2023 23:20:20;1.77
30/03/2023 23:35:20;1.92
30/03/2023 23:50:20;1.46
31/03/2023 00:05:20;1.68
31/03/2023 00:20:20;1.59
31/03/2023 00:35:20;1.14
31/03/2023 00:50:20;1.01
31/03/2023 01:05:20;1.10
31/03/2023 01:20:20;0.81
31/03/2023 01:35:20;1.29
31/03/2023 01:50:20;0.56
31/03/2023 02:05:20;0.60
31/03/2023 02:20:20;0.60
31/03/2023 02:35:20;0.48
31/03/2023 02:50:20;0.50
31/03/2023 03:05:20;0.77
31/03/2023 03:20:20;0.49
31/03/2023 03:35:20;0.47
31/03/2023 03:50:20;0.46
31/03/2023 04:05:20;0.87
31/03/2023 04:20:20;0.41
31/03/2023 04:35:20;0.49
31/03/2023 04:50:20;0.46
31/03/2023 05:05:20;0.97
31/03/2023 05:20:20;0.55
31/03/2023 05:35:20;0.73
31/03/2023 05:50:20;1.18
31/03/2023 06:05:20;1.02
31/03/2023 06:20:20;0.78
31/03/2023 06:35:20;0.64
31/03/2023 06:50:20;1.37
31/03/2023 07:05:20;1.28
31/03/2023 07:20:20;2.44
31/03/2023 07:35:20;1.58
31/03/2023 07:50:20;2.50
31/03/2023 08:05:20;2.32
31/03/2023 08:20:20;2.66
31/03/2023 08:35:20;4.50
31/03/2023 08:50:20;5.62
31/03/2023 09:05:20;6.92
31/03/2023 09:20:20;4.39
31/03/2023 09:35:20;4.13
31/03/2023 09:50:20;4.39
31/03/2023 10:05:20;4.55
31/03/2023 10:20:20;3.00
31/03/2023 10:35:20;2.35
31/03/2023 10:50:20;3.39
31/03/2023 11:05:20;4.04
31/03/2023 11:20:20;3.95
31/03/2023 11:35:20;2.81
31/03/2023 11:50:20;3.91
31/03/2023 12:05:20;4.23
31/03/2023 12:20:20;3.75
31/03/2023 12:35:20;3.52
31/03/2023 12:50:20;3.15
31/03/2023 13:05:20;2.79
31/03/2023 13:20:20;4.28
31/03/2023 13:35:20;5.62
31/03/2023 13:50:20;2.23
31/03/2023 14:05:20;3.49
31/03/2023 14:20:20;3.07
31/03/2023 14:35:20;2.13
31/03/2023 14:50:20;3.42
31/03/2023 15:05:20;2.15
31/03/2023 15:20:20;2.25
31/03/2023 15:35:20;2.79
31/03/2023 15:50:20;1.81
31/03/2023 16:05:20;1.88
31/03/2023 16:20:20;2.30
31/03/2023 16:35:20;1.33
31/03/2023 16:50:20;2.55
31/03/2023 17:05:20;1.86
31/03/2023 17:20:20;3.36
31/03/2023 17:35:20;2.51
31/03/2023 17:50:20;3.00
31/03/2023 18:05:20;3.36
31/03/2023 18:20:20;1.38
31/03/2023 18:35:20;2.20
31/03/2023 18:50:20;4.00
31/03/2023 19:05:20;3.30
31/03/2023 19:20:20;2.41
31/03/2023 19:35:20;1.69
31/03/2023 19:50:20;2.19
31/03/2023 20:05:20;3.15
31/03/2023 20:20:20;1.36
31/03/2023 20:35:20;3.33
31/03/2023 20:50:20;3.18
31/03/2023 21:05:20;2.74
31/03/2023 21:20:20;2.38
31/03/2023 21:35:20;3.71
31/03/2023 21:50:20;3.30
31/03/2023 22:05:20;2.46
31/03/2023 22:20:20;4.09
31/03/2023 22:35:20;2.16
31/03/2023 22:50:20;1.65
31/03/2023 23:05:20;2.00
31/03/2023 23:20:20;1.92
31/03/2023 23:35:20;1.27
31/03/2023 23:50:20;1.53
01/04/2023 00:05:20;1.83
01/04/2023 00:20:20;1.79
01/04/2023 00:35:20;1.00
01/04/2023 00:50:20;1.00
01/04/2023 01:05:20;0.81
01/04/2023 01:20:20;0.92
01/04/2023 01:35:20;0.85
01/04/2023 01:50:20;0.80
01/04/2023 02:05:20;0.63
01/04/2023 02:20:20;0.75
01/04/2023 02:35:20;0.52
01/04/2023 02:50:20;0.97
01/04/2023 03:05:20;0.51
01/04/2023 03:20:20;0.83
01/04/2023 03:35:20;0.46
01/04/2023 03:50:20;0.71
01/04/2023 04:05:20;0.54
01/04/2023 04:20:20;0.48
01/04/2023 04:35:20;0.61
01/04/2023 04:50:20;0.70
01/04/2023 05:05:20;0.64
01/04/2023 05:20:20;0.68
01/04/2023 05:35:20;0.72
01/04/2023 05:50:20;0.91
01/04/2023 06:05:20;0.91
01/04/2023 06:20:20;0.45
01/04/2023 06:35:20;0.51
01/04/2023 06:50:20;1.31
01/04/2023 07:05:20;0.84
01/04/2023 07:20:20;1.51
01/04/2023 07:35:20;4.61
01/04/2023 07:50:20;5.07
01/04/2023 08:05:20;8.57
01/04/2023 08:20:20;5.21
01/04/2023 08:35:20;5.29
01/04/2023 08:50:20;8.57
01/04/2023 09:05:20;6.92
01/04/2023 09:20:20;4.44
01/04/2023 09:35:20;5.00
01/04/2023 09:50:20;2.92
01/04/2023 10:05:20;3.63
01/04/2023 10:20:20;4.09
01/04/2023 10:35:20;5.45
01/04/2023 10:50:20;2.92
01/04/2023 11:05:20;4.73
01/04/2023 11:20:20;2.83
01/04/2023 11:35:20;2.72
01/04/2023 11:50:20;2.97
01/04/2023 12:05:20;3.82
01/04/2023 12:20:20;3.60
01/04/2023 12:35:20;2.97
01/04/2023 12:50:20;2.97
01/04/2023 13:05:20;3.67
01/04/2023 13:20:20;4.13
01/04/2023 13:35:20;3.10
01/04/2023 13:50:20;4.18
01/04/2023 14:05:20;2.36
01/04/2023 14:20:20;2.62
01/04/2023 14:35:20;2.46
01/04/2023 14:50:20;2.19
01/04/2023 15:05:20;3.00
01/04/2023 15:20:20;3.33
01/04/2023 15:35:20;1.98
01/04/2023 15:50:20;3.24
01/04/2023 16:05:20;3.49
01/04/2023 16:20:20;3.15
01/04/2023 16:35:20;2.23
01/04/2023 16:50:20;3.36
01/04/2023 17:05:20;2.64
01/04/2023 17:20:20;2.58
01/04/2023 17:35:20;2.64
01/04/2023 17:50:20;2.81
01/04/2023 18:05:20;1.40
01/04/2023 18:20:20;2.76
01/04/2023 18:35:20;3.30
01/04/2023 18:50:20;2.64
01/04/2023 19:05:20;1.77
01/04/2023 19:20:20;3.00
01/04/2023 19:35:20;2.09
01/04/2023 19:50:20;4.00
01/04/2023 20:05:20;3.30
01/04/2023 20:20:20;2.41
01/04/2023 20:35:20;2.74
01/04/2023 20:50:20;1.94
01/04/2023 21:05:20;3.30
01/04/2023 21:20:20;3.21
01/04/2023 21:35:20;2.02
01/04/2023 21:50:20;1.57
01/04/2023 22:05:20;1.76
01/04/2023 22:20:20;2.44
01/04/2023 22:35:20;1.79
01/04/2023 22:50:20;1.18
01/04/2023 23:05:20;2.40
01/04/2023 23:20:20;3.21
01/04/2023 23:35:20;2.02
01/04/2023 23:50:20;1.11
02/04/2023 00:05:20;1.97
02/04/2023 00:20:20;1.57
02/04/2023 00:35:20;2.43
02/04/2023 00:50:20;1.46
02/04/2023 01:05:20;1.29
02/04/2023 01:20:20;1.21
02/04/2023 01:35:20;0.95
02/04/2023 01:50:20;0.61
02/04/2023 02:05:20;0.99
02/04/2023 02:20:20;0.65
02/04/2023 02:35:20;1.12
02/04/2023 02:50:20;0.45
02/04/2023 03:05:20;0.78
02/04/2023 03:20:20;0.56
02/04/2023 03:35:20;1.00
02/04/2023 03:50:20;0.54
02/04/2023 04:05:20;0.47
02/04/2023 04:20:20;0.62
02/04/2023 04:35:20;0.62
02/04/2023 04:50:20;0.51
02/04/2023 05:05:20;0.51
02/04/2023 05:20:20;1.02
02/04/2023 05:35:20;1.00
02/04/2023 05:50:20;0.94
02/04/2023 06:05:20;0.71
02/04/2023 06:20:20;0.52
02/04/2023 06:35:20;0.56
02/04/2023 06:50:20;0.86
02/04/2023 07:05:20;1.00
02/04/2023 07:20:20;1.23
02/04/2023 07:35:20;1.11
02/04/2023 07:50:20;1.97
02/04/2023 08:05:20;1.07
02/04/2023 08:20:20;2.95
02/04/2023 08:35:20;2.41
02/04/2023 08:50:20;3.27
02/04/2023 09:05:20;3.46
02/04/2023 09:20:20;2.90
02/04/2023 09:35:20;3.27
02/04/2023 09:50:20;3.00
02/04/2023 10:05:20;5.62
02/04/2023 10:20:20;4.73
02/04/2023 10:35:20;2.62
02/04/2023 10:50:20;3.75
02/04/2023 11:05:20;4.23
02/04/2023 11:20:20;4.13
02/04/2023 11:35:20;4.04
02/04/2023 11:50:20;5.21
02/04/2023 12:05:20;4.80
02/04/2023 12:20:20;6.10
02/04/2023 12:35:20;5.37
02/04/2023 12:50:20;3.36
02/04/2023 13:05:20;3.82
02/04/2023 13:20:20;4.86
02/04/2023 13:35:20;3.78
02/04/2023 13:50:20;2.60
02/04/2023 14:05:20;3.05
02/04/2023 14:20:20;3.75
02/04/2023 14:35:20;2.97
02/04/2023 14:50:20;2.48
02/04/2023 15:05:20;2.53
02/04/2023 15:20:20;2.53
02/04/2023 15:35:20;2.26
02/04/2023 15:50:20;2.40
02/04/2023 16:05:20;2.85
02/04/2023 16:20:20;2.44
02/04/2023 16:35:20;2.41
02/04/2023 16:50:20;1.42
02/04/2023 17:05:20;1.72
02/04/2023 17:20:20;1.87
02/04/2023 17:35:20;2.38
02/04/2023 17:50:20;3.27
02/04/2023 18:05:20;1.88
02/04/2023 18:20:20;1.86
02/04/2023 18:35:20;2.60
02/04/2023 18:50:20;2.97
02/04/2023 19:05:20;3.39
02/04/2023 19:20:20;3.46
02/04/2023 19:35:20;2.22
02/04/2023 19:50:20;2.83
02/04/2023 20:05:20;2.66
02/04/2023 20:20:20;2.88
02/04/2023 20:35:20;2.19
02/04/2023 20:50:20;4.80
02/04/2023 21:05:20;3.52
02/04/2023 21:20:20;3.46
02/04/2023 21:35:20;3.30
02/04/2023 21:50:20;1.84
02/04/2023 22:05:20;1.94
02/04/2023 22:20:20;2.46
02/04/2023 22:35:20;1.64
02/04/2023 22:50:20;3.27
02/04/2023 23:05:20;2.20
02/04/2023 23:20:20;1.24
02/04/2023 23:35:20;2.62
02/04/2023 23:50:20;1.67
03/04/2023 00:05:20;2.50
03/04/2023 00:20:20;2.08
03/04/2023 00:35:20;0.79
03/04/2023 00:50:20;1.07
03/04/2023 01:05:20;1.05
03/04/2023 01:20:20;1.11
03/04/2023 01:35:20;0.76
03/04/2023 01:50:20;0.87
03/04/2023 02:05:20;0.50
03/04/2023 02:20:20;0.63
03/04/2023 02:35:20;0.47
03/04/2023 02:50:20;0.53
03/04/2023 03:05:20;1.01
03/04/2023 03:20:20;0.65
03/04/2023 03:35:20;0.92
03/04/2023 03:50:20;0.54
03/04/2023 04:05:20;0.42
03/04/2023 04:20:20;0.37
03/04/2023 04:35:20;0.44
03/04/2023 04:50:20;0.59
03/04/2023 05:05:20;0.56
03/04/2023 05:20:20;0.88
03/04/2023 05:35:20;0.55
03/04/2023 05:50:20;1.09
03/04/2023 06:05:20;0.54
03/04/2023 06:20:20;1.32
03/04/2023 06:35:20;0.75
03/04/2023 06:50:20;0.87
03/04/2023 07:05:20;1.26
03/04/2023 07:20:20;3.15
03/04/2023 07:35:20;1.69
03/04/2023 07:50:20;1.80
03/04/2023 08:05:20;2.72
03/04/2023 08:20:20;2.95
03/04/2023 08:35:20;3.91
03/04/2023 08:50:20;3.63
03/04/2023 09:05:20;3.42
03/04/2023 09:20:20;3.18
03/04/2023 09:35:20;3.56
03/04/2023 09:50:20;4.00
03/04/2023 10:05:20;3.87
03/04/2023 10:20:20;3.60
03/04/2023 10:35:20;3.49
03/04/2023 10:50:20;4.28
03/04/2023 11:05:20;4.55
03/04/2023 11:20:20;5.00
03/04/2023 11:35:20;3.46
03/04/2023 11:50:20;3.33
03/04/2023 12:05:20;2.72
03/04/2023 12:20:20;2.95
03/04/2023 12:35:20;3.46
03/04/2023 12:50:20;6.42
03/04/2023 13:05:20;3.30
03/04/2023 13:20:20;3.13
03/04/2023 13:35:20;3.05
03/04/2023 13:50:20;2.74
03/04/2023 14:05:20;2.02
03/04/2023 14:20:20;2.79
03/04/2023 14:35:20;1.86
03/04/2023 14:50:20;1.62
03/04/2023 15:05:20;1.72
03/04/2023 15:20:20;1.80
03/04/2023 15:35:20;2.30
03/04/2023 15:50:20;1.81
03/04/2023 16:05:20;2.36
03/04/2023 16:20:20;3.21
03/04/2023 16:35:20;2.92
03/04/2023 16:50:20;2.97
03/04/2023 17:05:20;3.39
03/04/2023 17:20:20;1.15
03/04/2023 17:35:20;3.07
03/04/2023 17:50:20;3.13
03/04/2023 18:05:20;2.38
03/04/2023 18:20:20;2.88
03/04/2023 18:35:20;1.60
03/04/2023 18:50:20;3.24
03/04/2023 19:05:20;4.93
03/04/2023 19:20:20;2.74
03/04/2023 19:35:20;3.27
03/04/2023 19:50:20;2.97
03/04/2023 20:05:20;2.81
03/04/2023 20:20:20;3.33
03/04/2023 20:35:20;3.87
03/04/2023 20:50:20;3.75
03/04/2023 21:05:20;3.63
03/04/2023 21:20:20;3.87
03/04/2023 21:35:20;3.13
03/04/2023 21:50:20;3.13
03/04/2023 22:05:20;3.13
03/04/2023 22:20:20;2.32
03/04/2023 22:35:20;2.32
03/04/2023 22:50:20;2.58
03/04/2023 23:05:20;1.16
03/04/2023 23:20:20;1.81
03/04/2023 23:35:20;3.33
03/04/2023 23:50:20;2.88
04/04/2023 00:05:20;1.67
04/04/2023 00:20:20;1.62
04/04/2023 00:35:20;1.05
04/04/2023 00:50:20;0.85
04/04/2023 01:05:20;1.77
04/04/2023 01:20:20;0.93
04/04/2023 01:35:20;1.11
04/04/2023 01:50:20;0.93
04/04/2023 02:05:20;0.51
04/04/2023 02:20:20;1.24
04/04/2023 02:35:20;0.68
04/04/2023 02:50:20;0.55
04/04/2023 03:05:20;1.26
04/04/2023 03:20:20;1.26
04/04/2023 03:35:20;0.84
04/04/2023 03:50:20;1.51
04/04/2023 04:05:20;0.66
04/04/2023 04:20:20;0.56
04/04/2023 04:35:20;0.61
04/04/2023 04:50:20;0.75
04/04/2023 05:05:20;0.48
04/04/2023 05:20:20;0.62
04/04/2023 05:35:20;0.68
04/04/2023 05:50:20;0.65
04/04/2023 06:05:20;0.98
04/04/2023 06:20:20;1.39
04/04/2023 06:35:20;2.03
04/04/2023 06:50:20;1.81
04/04/2023 07:05:20;2.10
04/04/2023 07:20:20;1.69
04/04/2023 07:35:20;2.81
04/04/2023 07:50:20;1.80
04/04/2023 08:05:20;1.70
04/04/2023 08:20:20;2.90
04/04/2023 08:35:20;2.40
04/04/2023 08:50:20;3.33
04/04/2023 09:05:20;4.44
04/04/2023 09:20:20;3.78
04/04/2023 09:35:20;3.82
04/04/2023 09:50:20;4.18
04/04/2023 10:05:20;4.61
04/04/2023 10:20:20;7.20
04/04/2023 10:35:20;6.10
04/04/2023 10:50:20;3.33
04/04/2023 11:05:20;3.39
04/04/2023 11:20:20;2.44
04/04/2023 11:35:20;3.82
04/04/2023 11:50:20;3.27
04/04/2023 12:05:20;3.33
04/04/2023 12:20:20;4.28
04/04/2023 12:35:20;4.61
04/04/2023 12:50:20;5.14
04/04/2023 13:05:20;6.20
04/04/2023 13:20:20;2.25
04/04/2023 13:35:20;2.76
04/04/2023 13:50:20;1.87
04/04/2023 14:05:20;3.00
04/04/2023 14:20:20;2.79
04/04/2023 14:35:20;2.64
04/04/2023 14:50:20;1.89
04/04/2023 15:05:20;1.69
04/04/2023 15:20:20;2.22
04/04/2023 15:35:20;2.03
